Respondent_ID,Q1_Age_Group,Q2_Gender,Q3_Employment,Q4_Income,Q5_Pet_Type,Q5b_Ownership_Duration,Q6_Boarding_Frequency,Q7_Boarding_Reason,Q8_Kennel,Q8_Home_Sitter,Q8_App,Q8_Vet_Clinic,Q8_Family_Friends,Q8_Never_Used,Q9_Monthly_Pet_Spend_USD,Q10_Attachment_1,Q10_Attachment_2,Q10_Attachment_3,Q10_Attachment_4,Q10_Attachment_5,Q11_Urgency,Q12_Satisfaction_1,Q12_Satisfaction_2,Q12_Satisfaction_3,Q12_Satisfaction_4,Q13_Concern_Safety,Q13_Concern_Feeding,Q13_Concern_No_Updates,Q13_Concern_Caretaker_Exp,Q13_Concern_Hygiene,Q13_Concern_Pet_Emotion,Q13_Concern_Emergency,Q13_Concern_Trust,Q14_Budget_Live_Video,Q14_Budget_Verified_Profiles,Q14_Budget_Messaging,Q14_Budget_CCTV,Q14_Budget_Custom_Care,Q14_Budget_Health_Log,Q14_Budget_Emergency_Coord,Q14_Budget_Grooming,Q15_Care_Preference,Q16_Trust_1,Q16_Trust_2,Q16_Trust_3,Q16_Trust_4,Q17_Competitive_Awareness,Q18_Switching_Threshold,Q19_PSM_TooChеap_USD,Q19_PSM_GoodValue_USD,Q19_PSM_GettingExpensive_USD,Q19_PSM_TooExpensive_USD,Q20_Payment_Model,Q21_Attitude_1,Q21_Attitude_2,Q21_Attitude_3,Q22_Norm_1,Q22_Norm_2,Q22_Norm_3,Q23_Control_1,Q23_Control_2,Q23_Control_3,Q24_Adoption_Barrier,Q25_Adoption_Intent,Cluster_Label,Is_Outlier,Derived_Attachment_Index,Derived_Concern_Index,Derived_Trust_Index,Derived_TPB_Attitude_Score,Derived_TPB_Norm_Score,Derived_TPB_Control_Score,Derived_TPB_Composite,Derived_Satisfaction_Index,Derived_PSM_WTP_Midpoint
R0011,30-39,Female,Part-time,USD 20000+,Dog,4-7 years,Occasionally (2-4/yr),Personal holiday,1,0,0,0,1,0,476,5,5,5,5,3,No - no near-term need,4,2,2,3,5,5,5,4,5,5,4,5,2,6,2,1,0,1,3,0,Hybrid,4,4,4,5,Not aware,Noticeably better,47,65,90,115,Annual membership,5,4,4,5,4,5,5,4,4,Unknown caretaker trust,Maybe,Anxious Premium Pet Parent,No,4.6,4.75,4.25,4.33,4.67,4.33,4.44,2.75,77.5
R0012,40-49,Male,Part-time,USD 10000-19999,Bird,7+ years,Occasionally (2-4/yr),Long working hours,1,0,0,0,1,0,56,4,3,4,4,3,No - no near-term need,4,3,4,4,3,3,3,3,3,3,4,4,1,3,1,0,0,1,9,0,Hybrid,3,5,3,4,Not aware,Significantly better,15,21,45,53,Annual membership,3,4,4,3,3,3,3,3,3,No significant barrier,No,Budget-Sensitive Occasional User,No,3.6,3.25,3.75,3.67,3.0,3.0,3.22,3.75,33.0
R0013,22-29,Female,Student,Below USD 2000,Cat,4-7 years,Frequently (5-10/yr),Medical/family emergency,0,1,0,0,0,0,211,3,2,3,5,3,No - no near-term need,3,3,5,3,4,4,3,4,3,3,3,4,2,4,3,0,1,4,1,0,Home-based caretaker,4,5,4,4,Yes - aware and used,Noticeably better,26,36,67,76,Freemium,4,3,3,4,4,3,3,3,3,Inconsistent quality,Yes,Convenience-Driven Casual Owner,No,3.2,3.5,4.25,3.33,3.67,3.0,3.33,3.5,51.5
R0014,Under 22,Male,Self-employed,USD 10000-19999,Cat,4-7 years,Very frequently (>10/yr),Work travel,0,0,1,0,1,0,270,5,2,4,4,4,Yes - confirmed,3,3,3,4,5,3,4,4,3,5,4,4,2,2,1,0,1,7,2,0,Home-based caretaker,4,4,5,4,Yes - aware and used,Marginally better,41,47,57,79,Annual membership,5,4,5,5,4,4,5,4,5,Price too high,Maybe,Busy Working Professional,No,3.8,4.0,4.25,4.67,4.33,4.67,4.56,3.25,52.0
R0015,22-29,Male,Retired,USD 20000+,Dog,7+ years,Rarely (≤1/yr),Work travel,0,1,1,0,1,0,299,4,4,4,5,5,No - no near-term need,4,1,2,3,5,5,5,4,4,4,5,5,7,0,1,0,2,3,2,0,Home-based caretaker,4,4,4,5,Not aware,Marginally better,47,56,79,129,Annual membership,5,4,4,4,4,4,4,5,5,Data privacy concern,Yes,Anxious Premium Pet Parent,No,4.4,4.62,4.25,4.33,4.0,4.67,4.33,2.5,67.5
R0016,30-39,Male,Full-time,USD 20000+,Cat,4-7 years,Occasionally (2-4/yr),Work travel,1,0,1,0,0,0,190,4,5,4,5,4,Yes - confirmed,4,3,2,3,5,4,4,4,5,5,4,5,1,0,5,3,2,3,1,0,Professional facility,5,5,4,5,Heard of but not used,Noticeably better,42,49,73,81,Freemium,4,5,4,3,4,5,4,4,4,Unknown caretaker trust,Yes,Anxious Premium Pet Parent,No,4.4,4.5,4.75,4.33,4.0,4.0,4.11,3.0,61.0
R0017,30-39,Female,Full-time,USD 20000+,Dog,7+ years,Occasionally (2-4/yr),Personal holiday,0,1,0,1,0,0,303,4,4,4,5,4,Yes - confirmed,4,2,4,4,4,3,4,4,4,4,4,5,2,6,2,2,0,2,1,0,Home-based caretaker,4,4,5,4,Heard of but not used,Significantly better,37,51,61,130,Monthly subscription,4,5,5,4,3,5,4,4,5,Unknown caretaker trust,Yes,Busy Working Professional,No,4.2,4.0,4.25,4.67,4.0,4.33,4.33,3.5,56.0
R0018,22-29,Female,Full-time,USD 10000-19999,Dog,7+ years,Rarely (≤1/yr),Work travel,1,1,0,1,0,0,472,5,4,5,5,4,Yes - confirmed,2,3,2,1,5,5,5,5,4,5,4,4,2,1,3,5,0,1,3,0,Hybrid,3,4,5,4,Not aware,Noticeably better,36,42,59,110,Annual membership,5,4,5,5,5,4,4,4,5,Unknown caretaker trust,Yes,Anxious Premium Pet Parent,No,4.6,4.62,4.0,4.67,4.67,4.33,4.56,2.0,50.5
R0019,30-39,Female,Student,USD 5000-9999,Bird,< 1 year,Rarely (≤1/yr),Personal holiday,1,0,0,1,0,0,145,3,4,4,3,3,Maybe - possible,4,2,5,4,4,4,4,3,4,5,4,4,0,4,1,1,5,2,1,1,Professional facility,3,2,3,3,Yes - aware and used,Significantly better,13,29,54,74,Monthly subscription,3,2,3,3,2,3,3,3,3,Data privacy concern,Maybe,Trust-Sceptical Non-Adopter,No,3.4,4.0,2.75,2.67,2.67,3.0,2.78,3.75,41.5
R0020,60 or above,Female,Full-time,Below USD 2000,Dog,1-3 years,Never,Work travel,1,1,0,1,0,0,180,4,4,4,4,3,Maybe - possible,3,3,3,4,4,4,3,3,5,3,3,4,0,6,0,0,4,0,5,0,Home-based caretaker,3,2,2,4,Heard of but not used,Significantly better,16,31,56,83,Pay-per-booking,2,2,3,3,3,2,3,2,3,Unknown caretaker trust,No,Trust-Sceptical Non-Adopter,No,3.8,3.62,2.75,2.33,2.67,2.67,2.56,3.25,43.5
R0021,30-39,Female,Full-time,USD 10000-19999,Dog,1-3 years,Frequently (5-10/yr),Personal holiday,1,1,1,0,0,0,320,3,4,4,4,4,No - no near-term need,3,2,3,3,4,3,5,4,4,4,5,5,7,1,3,1,1,1,1,0,Home-based caretaker,4,3,4,4,Heard of but not used,Noticeably better,28,47,67,75,Monthly subscription,4,4,5,3,4,5,4,4,3,Price too high,No,Busy Working Professional,No,3.8,4.25,3.75,4.33,4.0,3.67,4.0,2.75,57.0
R0022,40-49,Female,Full-time,USD 10000-19999,Rabbit/small mammal,4-7 years,Occasionally (2-4/yr),Personal holiday,0,0,0,1,1,0,115,3,2,3,4,4,Yes - confirmed,5,2,3,2,4,3,4,3,4,4,4,5,2,1,2,1,0,8,0,1,Hybrid,3,3,2,3,Yes - aware and used,Noticeably better,18,29,54,62,Pay-per-booking,2,3,2,3,3,3,4,2,3,Data privacy concern,No,Trust-Sceptical Non-Adopter,No,3.2,3.88,2.75,2.33,3.0,3.0,2.78,3.0,41.5
R0023,50-59,Male,Retired,USD 10000-19999,Dog,4-7 years,Occasionally (2-4/yr),Medical/family emergency,1,0,0,1,1,0,200,4,4,3,4,3,Maybe - possible,4,2,4,2,4,3,3,3,3,4,4,5,2,3,0,5,2,1,2,0,Hybrid,4,3,2,4,Yes - aware and used,Significantly better,3,20,41,83,Pay-per-booking,3,2,4,3,2,4,4,3,4,Unknown caretaker trust,Maybe,Trust-Sceptical Non-Adopter,No,3.6,3.62,3.25,3.0,3.0,3.67,3.22,3.0,30.5
R0024,22-29,Male,Part-time,Below USD 2000,Reptile,4-7 years,Occasionally (2-4/yr),Personal holiday,0,1,0,1,1,0,228,4,3,4,4,3,Maybe - possible,4,4,2,2,4,4,3,4,3,4,4,5,0,5,2,1,4,2,1,0,Hybrid,3,4,4,3,Yes - aware and used,Noticeably better,24,31,50,87,Pay-per-booking,4,4,4,3,3,4,4,3,4,Price too high,Maybe,Convenience-Driven Casual Owner,No,3.6,3.88,3.5,4.0,3.33,3.67,3.67,3.0,40.5
R0025,30-39,Non-binary,Full-time,Prefer not to disclose,Cat,7+ years,Occasionally (2-4/yr),Work travel,1,1,0,0,0,0,318,4,2,4,4,3,Yes - confirmed,4,2,3,3,4,3,3,4,4,4,4,4,0,7,0,3,0,4,1,0,Home-based caretaker,3,3,2,4,Heard of but not used,Noticeably better,8,28,44,87,Freemium,2,2,2,3,2,3,3,2,2,Unknown caretaker trust,Maybe,Trust-Sceptical Non-Adopter,No,3.4,3.75,3.0,2.0,2.67,2.33,2.33,3.0,36.0
R0026,50-59,Male,Self-employed,USD 10000-19999,Dog,4-7 years,Very frequently (>10/yr),Long working hours,1,1,0,0,1,0,377,5,4,5,5,5,No - no near-term need,4,2,3,3,4,4,5,5,4,4,4,5,2,1,1,4,4,0,1,2,Professional facility,4,3,4,4,Not aware,Marginally better,52,68,82,97,Annual membership,4,5,4,4,4,4,5,4,5,Price too high,Yes,Anxious Premium Pet Parent,No,4.8,4.38,3.75,4.33,4.0,4.67,4.33,3.0,75.0
R0027,30-39,Male,Full-time,USD 5000-9999,Cat,7+ years,Very frequently (>10/yr),Work travel,0,0,0,0,1,0,227,4,4,3,4,3,No - no near-term need,3,3,3,4,3,5,4,4,3,3,4,4,0,1,0,4,0,1,8,1,Professional facility,4,4,4,3,Heard of but not used,Noticeably better,26,35,47,89,Monthly subscription,4,3,4,3,4,4,3,5,3,Limited local availability,Maybe,Convenience-Driven Casual Owner,No,3.6,3.75,3.75,3.67,3.67,3.67,3.67,3.25,41.0
R0028,22-29,Female,Unemployed,USD 2000-4999,Cat,7+ years,Occasionally (2-4/yr),Long working hours,1,0,0,1,1,0,204,3,3,3,5,4,Yes - confirmed,3,3,3,4,3,3,3,3,3,3,4,3,1,3,3,1,2,4,0,1,Home-based caretaker,4,3,3,3,Heard of but not used,Significantly better,11,29,40,91,Pay-per-booking,4,5,3,4,4,5,4,4,3,Limited local availability,No,Convenience-Driven Casual Owner,No,3.6,3.12,3.25,4.0,4.33,3.67,4.0,3.25,34.5
R0029,22-29,Female,Part-time,USD 20000+,Cat,1-3 years,Frequently (5-10/yr),Work travel,0,1,1,0,0,0,343,4,4,4,5,4,Yes - confirmed,2,2,3,2,4,4,4,4,3,4,5,4,1,0,2,1,8,0,3,0,Hybrid,5,4,5,3,Yes - aware and used,Noticeably better,39,55,74,87,Freemium,5,5,5,4,4,4,5,5,4,Data privacy concern,Yes,Busy Working Professional,No,4.2,4.0,4.25,5.0,4.0,4.67,4.56,2.25,64.5
R0030,40-49,Male,Self-employed,USD 5000-9999,Rabbit/small mammal,7+ years,Frequently (5-10/yr),Work travel,1,0,0,0,1,1,380,4,4,4,5,5,Yes - confirmed,3,3,2,2,5,5,5,5,5,5,5,4,3,4,0,0,2,2,4,0,Home-based caretaker,3,5,4,5,Not aware,Noticeably better,44,60,79,87,Annual membership,4,4,5,5,4,4,4,5,5,Data privacy concern,Yes,Anxious Premium Pet Parent,No,4.4,4.88,4.25,4.33,4.33,4.67,4.44,2.5,69.5
R0031,22-29,Male,Retired,USD 10000-19999,Cat,7+ years,Rarely (≤1/yr),Other,0,0,0,0,1,0,268,4,4,3,4,5,Yes - confirmed,5,3,3,3,4,4,4,4,4,4,4,4,2,1,1,1,4,1,4,1,Hybrid,3,5,5,4,Not aware,Noticeably better,38,48,81,102,Monthly subscription,5,4,5,3,4,4,4,4,4,Unknown caretaker trust,Yes,Busy Working Professional,No,4.0,4.0,4.25,4.67,3.67,4.0,4.11,3.5,64.5
R0032,40-49,Female,Full-time,USD 20000+,Cat,1-3 years,Frequently (5-10/yr),Work travel,1,0,0,0,1,0,98,3,3,5,4,3,Yes - confirmed,4,3,4,3,3,3,3,4,3,3,4,4,3,5,0,2,1,0,1,3,Home-based caretaker,3,5,4,4,Yes - aware and used,Noticeably better,28,35,58,75,Monthly subscription,4,3,4,4,3,4,3,3,3,Limited local availability,Yes,Convenience-Driven Casual Owner,No,3.6,3.38,4.0,3.67,3.67,3.0,3.44,3.5,46.5
R0033,22-29,Female,Full-time,USD 5000-9999,Cat,4-7 years,Frequently (5-10/yr),Long working hours,0,1,0,0,1,0,388,4,4,3,4,3,Yes - confirmed,4,3,2,3,4,4,4,4,5,3,4,4,3,0,0,5,5,2,0,0,Home-based caretaker,4,4,3,5,Not aware,Noticeably better,33,47,64,120,Monthly subscription,4,4,4,4,4,3,4,5,5,Limited local availability,Yes,Busy Working Professional,No,3.6,4.0,4.0,4.0,3.67,4.67,4.11,3.0,55.5
R0034,40-49,Male,Part-time,USD 2000-4999,Dog,7+ years,Frequently (5-10/yr),Personal holiday,0,0,0,0,1,0,20,3,4,4,4,3,Maybe - possible,4,4,4,5,5,4,3,4,3,4,3,4,3,1,3,1,1,5,1,0,Hybrid,5,3,5,5,Heard of but not used,Would not switch,27,37,48,116,Freemium,5,3,3,3,4,5,4,4,5,Unknown caretaker trust,Maybe,Convenience-Driven Casual Owner,No,3.6,3.75,4.5,3.67,4.0,4.33,4.0,4.25,42.5
R0035,22-29,Female,Full-time,USD 10000-19999,Dog,4-7 years,Rarely (≤1/yr),Work travel,1,0,0,0,0,0,345,4,3,3,4,3,Maybe - possible,5,3,3,3,4,4,3,4,3,4,3,4,0,1,6,0,2,0,5,1,Professional facility,4,5,3,4,Heard of but not used,Noticeably better,28,38,60,68,Freemium,5,4,5,3,4,4,4,4,3,Unknown caretaker trust,Yes,Convenience-Driven Casual Owner,No,3.4,3.62,4.0,4.67,3.67,3.67,4.0,3.5,49.0
R0036,Under 22,Male,Self-employed,USD 5000-9999,Dog,4-7 years,Very frequently (>10/yr),Personal holiday,1,0,0,0,1,0,355,5,5,5,5,4,No - no near-term need,3,2,3,2,5,4,5,5,4,5,5,5,1,1,4,1,0,2,6,0,Home-based caretaker,4,4,4,5,Not aware,Would not switch,32,49,60,125,Annual membership,4,5,5,4,5,4,5,3,5,Unknown caretaker trust,Maybe,Anxious Premium Pet Parent,No,4.8,4.75,4.25,4.67,4.33,4.33,4.44,2.5,54.5
R0037,30-39,Male,Part-time,USD 10000-19999,Cat,1-3 years,Rarely (≤1/yr),Personal holiday,0,0,0,0,1,0,166,3,3,4,3,4,Maybe - possible,4,4,4,5,4,3,4,4,3,3,4,4,1,1,2,0,1,2,4,4,Professional facility,2,3,2,3,Not aware,Significantly better,11,19,35,78,Freemium,3,4,4,3,3,4,3,5,4,Price too high,Maybe,Budget-Sensitive Occasional User,No,3.4,3.62,2.5,3.67,3.33,4.0,3.67,4.25,27.0
R0038,22-29,Female,Full-time,USD 5000-9999,Dog,4-7 years,Rarely (≤1/yr),Personal holiday,0,0,0,0,1,0,182,3,2,4,4,2,Yes - confirmed,4,4,2,5,4,3,3,3,4,3,4,4,2,0,1,0,1,4,3,4,Home-based caretaker,3,3,3,3,Not aware,Significantly better,18,26,50,65,Annual membership,3,4,4,4,3,3,3,3,3,No significant barrier,Maybe,Budget-Sensitive Occasional User,No,3.0,3.5,3.0,3.67,3.33,3.0,3.33,3.75,38.0
R0039,50-59,Female,Part-time,Below USD 2000,Dog,7+ years,Occasionally (2-4/yr),Personal holiday,1,0,0,0,0,0,174,4,3,4,4,3,No - no near-term need,4,3,4,3,4,3,3,4,3,4,4,3,1,1,3,0,2,0,2,6,Professional facility,4,4,4,4,Yes - aware and used,Significantly better,21,37,68,76,Annual membership,4,3,4,4,3,3,4,4,4,Inconsistent quality,Maybe,Convenience-Driven Casual Owner,No,3.6,3.5,4.0,3.67,3.33,4.0,3.67,3.5,52.5
R0040,22-29,Male,Full-time,USD 10000-19999,Dog,4-7 years,Frequently (5-10/yr),Personal holiday,1,0,0,0,1,0,518,5,5,5,5,4,Maybe - possible,3,4,2,2,5,5,5,5,4,5,4,5,0,0,1,0,2,1,11,0,Home-based caretaker,4,5,4,4,Not aware,Noticeably better,43,57,75,114,Corporate benefit,5,5,5,5,4,5,4,4,4,Unknown caretaker trust,Yes,Anxious Premium Pet Parent,No,4.8,4.75,4.25,5.0,4.67,4.0,4.56,2.75,66.0
R0041,Under 22,Non-binary,Retired,USD 20000+,Other,7+ years,Rarely (≤1/yr),Long working hours,1,1,0,0,1,0,408,5,5,5,5,4,Yes - confirmed,2,2,2,2,5,4,4,4,5,5,5,5,4,3,0,0,0,3,5,0,Home-based caretaker,4,4,3,4,Not aware,Noticeably better,51,62,72,96,Pay-per-booking,4,5,5,3,4,5,4,4,4,Unknown caretaker trust,Yes,Anxious Premium Pet Parent,No,4.8,4.62,3.75,4.67,4.0,4.0,4.22,2.0,67.0
R0042,22-29,Male,Retired,USD 10000-19999,Cat,1-3 years,Occasionally (2-4/yr),Personal holiday,1,0,0,0,1,0,122,3,3,4,3,4,No - no near-term need,4,3,4,3,4,4,3,4,4,3,4,5,0,0,1,3,1,0,10,0,Professional facility,4,3,3,3,Not aware,Would not switch,12,28,41,89,Monthly subscription,2,2,2,2,2,3,3,3,3,Inconsistent quality,No,Trust-Sceptical Non-Adopter,No,3.4,3.88,3.25,2.0,2.33,3.0,2.44,3.5,34.5
R0043,40-49,Male,Self-employed,USD 20000+,Dog,4-7 years,Very frequently (>10/yr),Personal holiday,0,0,0,0,0,0,475,5,5,5,4,5,Maybe - possible,2,2,3,3,4,4,5,4,5,5,5,5,7,1,1,2,2,1,1,0,Home-based caretaker,4,5,4,4,Yes - aware and used,Significantly better,47,62,75,135,Annual membership,5,4,5,4,4,4,4,4,5,Data privacy concern,Yes,Anxious Premium Pet Parent,No,4.8,4.62,4.25,4.67,4.0,4.33,4.33,2.5,68.5
R0044,40-49,Female,Full-time,USD 20000+,Dog,7+ years,Frequently (5-10/yr),Other,0,1,1,0,1,0,373,4,4,4,4,5,Maybe - possible,3,3,4,3,4,3,4,4,4,4,4,5,0,6,2,3,1,2,1,0,Home-based caretaker,4,5,4,4,Not aware,Significantly better,32,42,64,72,Annual membership,5,5,4,5,4,4,5,4,5,Data privacy concern,Yes,Busy Working Professional,No,4.2,4.0,4.25,4.67,4.33,4.67,4.56,3.25,53.0
R0045,40-49,Male,Retired,Below USD 2000,Dog,7+ years,Rarely (≤1/yr),Long working hours,0,0,1,0,1,0,118,4,3,3,4,2,Maybe - possible,3,4,4,3,3,4,3,4,3,3,3,4,0,2,1,0,3,0,9,0,Home-based caretaker,3,4,3,3,Yes - aware and used,Would not switch,14,19,34,87,Pay-per-booking,3,3,4,3,3,3,3,3,3,Limited local availability,No,Budget-Sensitive Occasional User,No,3.2,3.38,3.25,3.33,3.0,3.0,3.11,3.5,26.5
R0046,40-49,Male,Full-time,USD 20000+,Dog,4-7 years,Occasionally (2-4/yr),Work travel,0,0,1,0,0,0,220,4,4,4,4,4,Yes - confirmed,3,3,2,2,4,4,4,4,5,4,4,3,3,4,2,3,1,1,1,0,Professional facility,4,4,3,4,Yes - aware and used,Significantly better,31,46,74,90,Monthly subscription,5,4,4,4,4,4,5,4,4,Price too high,Yes,Busy Working Professional,No,4.0,4.0,3.75,4.33,4.0,4.33,4.22,2.5,60.0
R0047,30-39,Female,Full-time,USD 10000-19999,Dog,7+ years,Very frequently (>10/yr),Medical/family emergency,1,0,1,0,0,0,368,4,5,5,4,3,Yes - confirmed,2,2,4,3,4,5,4,4,3,4,3,5,1,9,2,1,0,0,2,0,Hybrid,5,3,4,4,Not aware,Noticeably better,39,47,82,105,Freemium,5,4,4,4,4,4,3,5,5,Limited local availability,Yes,Busy Working Professional,No,4.2,4.0,4.0,4.33,4.0,4.33,4.22,2.75,64.5
R0048,30-39,Female,Full-time,USD 10000-19999,Dog,1-3 years,Occasionally (2-4/yr),Long working hours,0,1,0,1,1,0,314,5,4,4,5,4,Yes - confirmed,3,3,2,3,5,4,4,4,4,3,5,5,4,1,1,2,1,1,4,1,Professional facility,5,4,4,4,Heard of but not used,Significantly better,18,37,62,110,Pay-per-booking,4,4,4,3,4,5,5,4,4,Unknown caretaker trust,Yes,Busy Working Professional,No,4.4,4.25,4.25,4.0,4.0,4.33,4.11,2.75,49.5
